fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-12 21:19:23,regresion,bitcount,93.699,1.169008,1.170606,0.1367,37.77,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 21:19:50,regresion,bsearch,12.111,1.164277,1.166537,0.1941,37.64,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 21:25:12,regresion,conv,306.634,1.161938,1.164733,0.2406,38.63,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 21:26:16,regresion,divsum,49.510,1.151140,1.150762,-0.0328,38.63,12096019,0,0,15960000,467040000,4,3990001,0,495096022
2026-07-12 21:26:42,regresion,fixmul,11.745,1.161362,1.165241,0.3340,38.50,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 21:27:00,regresion,floyd,4.795,1.162520,1.166400,0.3338,38.50,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-12 21:27:26,regresion,fpalu,11.794,1.166917,1.165374,-0.1322,38.63,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-12 21:27:55,regresion,fpctrl,15.378,1.164834,1.166573,0.1493,38.50,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-12 21:29:06,regresion,fpgain,12.306,1.166229,1.162552,-0.3153,38.63,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-12 21:29:28,regresion,fpmem,12.315,1.166312,1.165727,-0.0502,38.75,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-12 21:29:48,regresion,logistic,13.330,1.163474,1.166389,0.2505,38.75,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-12 21:30:27,regresion,md5,32.088,1.164336,1.166554,0.1905,38.63,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-12 21:31:40,regresion,mixed,61.600,1.165671,1.161968,-0.3177,38.63,104000013,51200000,0,0,0,102400004,51200001,0,616000016
2026-07-12 21:31:53,regresion,primes,5.451,1.162205,1.153809,-0.7224,38.63,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-12 21:32:06,regresion,sha256,5.292,1.154091,1.166095,1.0401,38.63,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 21:32:39,regresion,wmul,24.930,1.166440,1.166323,-0.0100,38.63,29700017,0,43200000,0,0,4,900001,0,249300020
2026-07-12 21:32:58,regresion,ycbcr,10.258,1.158037,1.162971,0.4260,38.87,20660014,0,0,0,0,20480004,5120001,10240000,102580021
